source,dataset,variable,metric,geo,raw_file,rows,min_period,max_period
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Huesca, Huesca",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Inca, ILLES BALEARS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Irun, Gipuzkoa",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Jaén, Jaén",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Jerez de la Frontera, Cádiz",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Jumilla, Murcia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Jávea/Xábia, Alicante",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Leganés, Madrid",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"León, León",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Linares, Jaén",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Lleida, Lleida",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Lloret de Mar, Girona",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Llucmajor, ILLES BALEARS",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Logroño, La Rioja",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
