dataset,column,non_null,nulls,null_pct,unique,numeric_non_null,key_like,recommended_action,reason,sample
bcn_aire_limpio.csv,extraido_en,15041,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,2026-05-14T00:49:05 | 2026-05-14T00:49:05 | 2026-05-14T00:49:05
bcn_aire_limpio.csv,geom_wkt,15041,0,0.0,15041,0,True,conservar,Nulidad manejable o columna relevante.,"MultiLineString ((430229.78859372 4586585.19905775, 430181.87658409 4586593.70443592)) | MultiLineString ((432928.8982969 4584019.98762825, 432994.98396587 4583963.09304168)) | MultiLineString ((429953.2631029 4588161.44067207, 429981.4182434 4588174.24947826, 430025.29847637 4588196.06217914))"
bcn_aire_limpio.csv,id,15041,0,0.0,15041,15041,True,conservar,Nulidad manejable o columna relevante.,1 | 2 | 3
bcn_aire_limpio.csv,rang,15041,0,0.0,7,0,False,conservar,Nulidad manejable o columna relevante.,20-30 µg/m³ | 20-30 µg/m³ | 10-20 µg/m³
bcn_aire_limpio.csv,tram,15041,0,0.0,15041,0,False,conservar,Nulidad manejable o columna relevante.,T04719W | T19941Z | T18111R
bcn_aire_limpio.csv,variable_iseu,15041,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,Calidad del aire | Calidad del aire | Calidad del aire
bcn_alquiler_limpio.csv,extraido_en,1068,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,2026-05-14T00:57:27 | 2026-05-14T00:57:27 | 2026-05-14T00:57:27
bcn_alquiler_limpio.csv,fuente,1068,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,Open Data BCN | Open Data BCN | Open Data BCN
bcn_alquiler_limpio.csv,geometry_wkt,1068,0,0.0,1068,0,True,conservar,Nulidad manejable o columna relevante.,"MULTIPOLYGON (((431304.7731 4580691.553, 431303.85 4580690.06, 431259.02 4580617.44, 431283.62 4580602.53, 431270.81 458 | MULTIPOLYGON (((431050.9895 4581133.5904, 431058.4714 4581119.6324, 431046.9022 4581102.3804, 431045.5012 4581099.7594,  | MULTIPOLYGON (((430889.5604 4580894.5943, 430884.9863 4580881.0993, 430854.7696 4580799.7154, 430839.9802 4580751.5445, "
bcn_alquiler_limpio.csv,nota_calidad,1068,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,"Proxy: tasa/esfuerzo de alquiler por seccion censal, no renta mensual en euros. | Proxy: tasa/esfuerzo de alquiler por seccion censal, no renta mensual en euros. | Proxy: tasa/esfuerzo de alquiler por seccion censal, no renta mensual en euros."
bcn_alquiler_limpio.csv,percentil_alquiler,1068,0,0.0,4,0,False,conservar,Nulidad manejable o columna relevante.,60% - 80% | 60% - 80% | 60% - 80%
bcn_alquiler_limpio.csv,seccion_censal,1068,0,0.0,1068,1068,False,conservar,Nulidad manejable o columna relevante.,801901001 | 801901002 | 801901003
bcn_alquiler_limpio.csv,tasa_alquiler_renta,1068,0,0.0,1054,1068,False,conservar,Nulidad manejable o columna relevante.,0.38210072869 | 0.45492019364 | 0.42848758465
bcn_alquiler_limpio.csv,variable_iseu,1068,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,Precio alquiler medio | Precio alquiler medio | Precio alquiler medio
bcn_equipamientos_limpio.csv,addresses_main_address,2722,0,0.0,2,2722,False,conservar,Nulidad manejable o columna relevante.,True | True | True
bcn_equipamientos_limpio.csv,created,2722,0,0.0,1229,0,False,conservar,Nulidad manejable o columna relevante.,2024-11-11T10:44:08.237141 | 1996-09-18T00:00:00 | 1996-09-18T00:00:00
bcn_equipamientos_limpio.csv,dataset_key,2722,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,bcn_equipamientos | bcn_equipamientos | bcn_equipamientos
bcn_equipamientos_limpio.csv,extraido_en,2722,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,2026-05-14T00:49:55 | 2026-05-14T00:49:55 | 2026-05-14T00:49:55
bcn_equipamientos_limpio.csv,id,2722,0,0.0,2722,2722,True,conservar,Nulidad manejable o columna relevante.,1 | 2 | 3
bcn_equipamientos_limpio.csv,modified,2722,0,0.0,1995,0,False,conservar,Nulidad manejable o columna relevante.,2024-11-11T10:47:53.442315 | 2026-03-02T14:52:54.231534 | 2026-03-02T14:52:54.231534
bcn_equipamientos_limpio.csv,name,2722,0,0.0,1972,0,False,conservar,Nulidad manejable o columna relevante.,Aula d’Extensió Universitària C.I.C. de la Gent Gran | Centre Educatiu Castro de la Peña | Centre Educatiu Castro de la Peña
bcn_equipamientos_limpio.csv,register_id,2722,0,0.0,1995,0,True,conservar,Nulidad manejable o columna relevante.,﻿99400746644 | ﻿75990135841 | ﻿75990135841
bcn_equipamientos_limpio.csv,variable_iseu,2722,0,0.0,1,0,True,conservar,Nulidad manejable o columna relevante.,Acceso a salud | Acceso a salud | Acceso a salud
bcn_licencias_limpio.csv,codi_activitat_2016,44000,0,0.0,81,44000,True,conservar,Nulidad manejable o columna relevante.,333 | 333 | 222
bcn_licencias_limpio.csv,codi_activitat_2022,44000,0,0.0,81,44000,True,conservar,Nulidad manejable o columna relevante.,30 | 30 | 20
bcn_licencias_limpio.csv,codi_barri,44000,0,0.0,72,44000,True,conservar,Nulidad manejable o columna relevante.,16 | 65 | 27
bcn_licencias_limpio.csv,codi_districte,44000,0,0.0,10,44000,True,conservar,Nulidad manejable o columna relevante.,3 | 10 | 5
bcn_licencias_limpio.csv,codi_grup_activitat,44000,0,0.0,18,44000,True,conservar,Nulidad manejable o columna relevante.,0 | 0 | 0
bcn_licencias_limpio.csv,codi_illa,44000,0,0.0,3303,44000,True,conservar,Nulidad manejable o columna relevante.,72524 | 6910 | 31130
bcn_licencias_limpio.csv,codi_parcela,44000,0,0.0,115,44000,True,conservar,Nulidad manejable o columna relevante.,7 | 7 | 2
bcn_licencias_limpio.csv,codi_principal_activitat,44000,0,0.0,2,44000,True,conservar,Nulidad manejable o columna relevante.,0 | 0 | 0
bcn_licencias_limpio.csv,codi_sector_activitat,44000,0,0.0,3,44000,True,conservar,Nulidad manejable o columna relevante.,3 | 3 | 2
bcn_licencias_limpio.csv,codi_via,44000,0,0.0,2131,44000,True,conservar,Nulidad manejable o columna relevante.,142504 | 350308 | 28000
