dataset,column,dtype,non_null,nulls,null_pct,unique,numeric_non_null,sample
bcn_poblacion_limpio.csv,valor,int64,2136,0,0.0,722,2136,678 | 741 | 636
bcn_poblacion_limpio.csv,data_referencia,str,2136,0,0.0,1,0,2025-01-01T00:00:00 | 2025-01-01T00:00:00 | 2025-01-01T00:00:00
bcn_poblacion_limpio.csv,id,int64,2136,0,0.0,2136,2136,1 | 2 | 3
bcn_poblacion_limpio.csv,variable_iseu,str,2136,0,0.0,1,0,Población distritos | Población distritos | Población distritos
bcn_poblacion_limpio.csv,dataset_key,str,2136,0,0.0,1,0,bcn_poblacion | bcn_poblacion | bcn_poblacion
bcn_poblacion_limpio.csv,extraido_en,str,2136,0,0.0,1,0,2026-05-14T00:50:08 | 2026-05-14T00:50:08 | 2026-05-14T00:50:08
bcn_seguridad_limpio.csv,codi_districte,int64,8072,0,0.0,10,8072,1 | 1 | 1
bcn_seguridad_limpio.csv,coordenada_utm_x_ed50,float64,8072,0,0.0,4993,8072,430843.618 | 430453.561 | 430453.561
bcn_seguridad_limpio.csv,nk_any,int64,8072,0,0.0,1,8072,2025 | 2025 | 2025
bcn_seguridad_limpio.csv,causa_conductor,str,7636,436,0.054,15,0,No respectar distàncies | Manca d'atenció a la conducció | No respectat pas de vianants
bcn_seguridad_limpio.csv,nom_districte,str,8072,0,0.0,10,0,Ciutat Vella | Ciutat Vella | Ciutat Vella
bcn_seguridad_limpio.csv,descripcio_torn,str,8072,0,0.0,3,0,Tarda | Nit | Nit
bcn_seguridad_limpio.csv,coordenada_utm_y_ed50,float64,8072,0,0.0,4995,8072,4580926.531 | 4581623.91 | 4581623.91
bcn_seguridad_limpio.csv,codi_carrer,int64,8072,0,0.0,1036,8072,198804 | 254803 | 254803
bcn_seguridad_limpio.csv,nom_carrer,str,8072,0,0.0,1004,0,Paral·lel | Peu de la Creu | Peu de la Creu
bcn_seguridad_limpio.csv,dia_mes,int64,8072,0,0.0,31,8072,5 | 9 | 9
bcn_seguridad_limpio.csv,nom_mes,str,8072,0,0.0,12,0,Gener | Gener | Gener
bcn_seguridad_limpio.csv,nom_barri,str,8072,0,0.0,73,0,el Raval | el Raval | el Raval
bcn_seguridad_limpio.csv,hora_dia,int64,8072,0,0.0,24,8072,14 | 23 | 23
bcn_seguridad_limpio.csv,numero_expedient,str,8072,0,0.0,7741,0,2025S000065 | 2025S000133 | 2025S000133
bcn_seguridad_limpio.csv,latitud_wgs84,float64,8072,0,0.0,4996,8072,41.37503971 | 41.38128717 | 41.38128717
bcn_seguridad_limpio.csv,codi_barri,int64,8072,0,0.0,73,8072,1 | 1 | 1
